Gender,Race,Age,VisaStatus,VisaLabel,EducationLevel,EducationLabel,UniversityTier,CS_Degree,YearsExperience,AlgorithmSkill,SystemDesignSkill,NumLanguages,GitHubScore,PastCompanyTier,PastCompanyLabel,EthnicNameSignal,HasReferral,LinkedInScore,InterviewerType,ResumeScore,TechInterviewScore,CultureFitScore,OverallInterviewScore,HireProbability,Hired,TotalBiasEffect
Male,White,27,0,Citizen,2,Master,2,1,3.4,50.2,44.6,5,20.1,3,Average Company,0,0,44.8,1,74.9,48.2,58.7,59.1,0.4733,1,0.27
Female,Asian,46,2,H1B,2,Master,2,1,3.9,61.4,38.8,2,29.5,3,Average Company,0,0,80.9,1,53.3,35.0,54.4,47.3,0.2049,0,-0.3
Female,Black,43,1,Green Card,2,Master,3,0,1.6,47.0,29.7,1,18.7,3,Average Company,1,0,62.3,2,40.5,25.9,40.0,35.2,0.0807,0,-0.53
Male,White,37,0,Citizen,1,Bachelor,2,0,1.5,58.6,33.4,3,79.5,3,Average Company,0,0,80.0,1,35.1,26.8,55.2,40.2,0.1173,0,0.27
Male,White,29,0,Citizen,1,Bachelor,3,1,2.7,75.5,30.6,4,23.2,3,Average Company,0,0,64.0,0,36.6,31.6,56.1,42.6,0.1479,0,0.27
Male,White,40,0,Citizen,2,Master,3,1,0.2,39.9,19.7,6,56.6,4,No Experience,0,0,79.1,1,47.7,23.4,59.5,43.9,0.1934,0,0.27
Male,White,24,0,Citizen,2,Master,3,1,2.6,53.2,30.8,2,31.0,3,Average Company,0,0,82.9,0,62.0,22.3,60.1,47.3,0.264,0,0.27
Female,Black,39,0,Citizen,4,Self-taught/Bootcamp,4,1,3.0,45.2,41.1,4,15.5,1,FAANG,1,0,89.3,0,50.6,35.1,60.3,49.1,0.3158,1,-0.38
Male,Black,38,0,Citizen,2,Master,3,0,0.3,43.3,42.5,4,46.0,4,No Experience,1,0,65.4,0,42.2,48.9,70.6,55.9,0.286,1,-0.03
Female,White,30,0,Citizen,1,Bachelor,2,1,0.1,42.2,16.2,2,49.3,4,No Experience,0,0,60.2,1,57.3,12.8,39.3,34.5,0.1022,0,0.12
Male,White,39,0,Citizen,2,Master,1,0,0.0,49.5,14.0,4,11.7,4,No Experience,0,1,70.2,1,73.5,32.2,59.9,53.6,0.4221,1,0.27
Female,White,28,0,Citizen,1,Bachelor,3,1,2.0,46.0,50.9,2,50.0,1,FAANG,0,0,90.2,1,72.3,41.1,56.5,55.1,0.4001,0,0.12
Female,Hispanic,23,0,Citizen,1,Bachelor,2,1,3.1,27.9,24.1,1,13.2,1,FAANG,1,0,83.9,1,51.7,8.8,80.8,48.3,0.2494,0,-0.24
Male,White,38,0,Citizen,1,Bachelor,1,1,0.9,30.8,25.3,1,14.8,4,No Experience,0,1,90.1,0,84.5,30.8,68.8,59.4,0.3972,1,0.27
Male,Asian,31,0,Citizen,4,Self-taught/Bootcamp,4,1,10.2,66.2,81.0,4,45.3,3,Average Company,0,1,78.4,0,84.4,69.8,74.1,75.2,0.7493,1,0.2
Male,Asian,36,0,Citizen,1,Bachelor,1,0,3.9,37.3,60.2,3,14.9,1,FAANG,1,0,87.8,1,84.4,42.0,69.8,63.7,0.5188,0,0.2
Male,Black,44,1,Green Card,1,Bachelor,2,1,4.1,42.2,43.5,7,20.4,3,Average Company,1,0,72.4,1,58.0,34.5,49.8,46.5,0.1967,0,-0.03
Male,Asian,26,2,H1B,1,Bachelor,2,1,0.3,49.6,27.5,2,32.6,4,No Experience,1,0,81.6,2,39.4,51.8,57.4,51.0,0.1761,0,0.12
Male,White,30,0,Citizen,2,Master,3,1,0.4,62.2,27.7,4,25.5,4,No Experience,0,1,45.3,2,71.2,42.7,60.4,56.9,0.4411,0,0.27
Male,Asian,42,0,Citizen,1,Bachelor,2,1,3.2,89.2,48.9,3,24.9,3,Average Company,1,0,59.9,1,55.0,50.3,45.8,49.7,0.2734,1,0.2
Male,White,36,0,Citizen,3,PhD,2,1,6.5,60.5,69.8,2,5.2,2,Well-known Tech,0,0,63.2,0,86.6,49.6,68.1,66.2,0.748,0,0.27
Male,Asian,27,1,Green Card,2,Master,1,1,8.2,87.1,40.2,7,28.2,4,No Experience,0,1,64.9,1,84.6,41.9,66.2,62.3,0.5864,0,0.2
Male,White,25,0,Citizen,1,Bachelor,3,1,3.5,66.8,21.7,1,5.1,1,FAANG,0,0,81.3,1,75.1,20.6,65.6,52.2,0.3989,0,0.27
Male,Asian,28,0,Citizen,2,Master,3,1,4.0,31.2,47.1,6,63.0,3,Average Company,0,0,61.1,1,56.8,18.1,58.7,44.0,0.2352,1,0.2
Male,White,26,0,Citizen,1,Bachelor,3,1,4.3,72.7,48.2,2,31.4,1,FAANG,0,0,58.7,1,79.9,41.9,68.7,62.1,0.6446,1,0.27
Female,Asian,33,1,Green Card,2,Master,2,1,1.7,53.4,59.2,3,10.4,3,Average Company,1,0,59.7,1,59.5,41.8,38.4,44.9,0.2516,0,0.05
Male,White,32,0,Citizen,2,Master,3,1,16.7,56.0,95.3,3,55.7,1,FAANG,0,0,85.1,1,100.0,52.2,57.9,66.4,0.867,1,0.27
Male,Asian,33,2,H1B,2,Master,2,1,16.7,90.2,65.2,3,22.0,3,Average Company,1,1,86.2,0,100.0,88.4,64.6,81.8,0.9108,1,0.12
Male,White,26,2,H1B,3,PhD,2,0,4.4,92.3,33.0,5,27.8,3,Average Company,0,1,86.1,2,71.1,74.4,72.0,72.6,0.7042,1,0.19
Male,White,31,0,Citizen,3,PhD,1,1,2.1,47.3,34.7,1,25.3,3,Average Company,0,1,68.7,0,86.3,16.4,51.0,47.7,0.3839,0,0.27
Male,Black,21,0,Citizen,2,Master,2,1,8.5,68.0,44.6,8,16.1,3,Average Company,0,0,61.8,1,81.3,67.7,51.4,64.6,0.5056,1,-0.03
Male,Hispanic,33,0,Citizen,4,Self-taught/Bootcamp,4,1,0.9,56.2,21.0,6,20.5,4,No Experience,0,0,79.1,1,40.3,47.5,58.9,50.3,0.1838,1,0.03
Male,White,40,0,Citizen,1,Bachelor,3,0,4.2,29.1,33.5,2,29.9,2,Well-known Tech,0,1,71.2,1,54.9,24.0,59.8,46.0,0.4096,1,0.27
Female,Hispanic,22,0,Citizen,4,Self-taught/Bootcamp,4,0,7.0,35.5,67.9,4,33.3,3,Average Company,1,0,88.8,2,28.5,31.1,45.5,36.2,0.1086,0,-0.24
Female,Black,35,0,Citizen,1,Bachelor,3,1,0.0,57.6,31.2,5,15.7,4,No Experience,0,0,41.4,0,44.5,33.8,56.1,45.4,0.0949,0,-0.38
Female,Asian,27,0,Citizen,1,Bachelor,1,1,2.5,55.4,42.0,4,25.5,2,Well-known Tech,1,0,50.1,1,69.6,52.6,48.9,55.4,0.293,0,0.05
Male,White,37,0,Citizen,2,Master,3,1,1.4,76.0,21.3,1,5.2,2,Well-known Tech,0,1,59.4,2,67.5,57.4,61.5,61.6,0.5927,0,0.27
Male,White,33,0,Citizen,1,Bachelor,1,1,7.2,73.3,60.8,5,37.0,3,Average Company,0,1,59.5,1,97.8,46.1,49.1,60.2,0.5829,0,0.27
Male,Asian,34,0,Citizen,1,Bachelor,3,1,11.6,64.3,69.8,6,29.3,3,Average Company,0,0,57.8,2,95.3,65.0,55.3,68.7,0.7231,0,0.2
Male,White,32,0,Citizen,1,Bachelor,3,0,0.9,43.0,36.8,4,2.2,4,No Experience,0,0,72.8,2,35.4,7.7,75.9,41.9,0.1595,0,0.27
Male,Black,41,0,Citizen,1,Bachelor,1,1,0.9,53.7,28.8,3,44.2,4,No Experience,1,0,81.4,0,66.5,35.9,42.9,46.4,0.117,0,-0.03
Male,White,34,0,Citizen,1,Bachelor,2,1,14.7,51.7,68.0,2,5.4,2,Well-known Tech,0,0,63.3,2,97.2,56.4,81.2,76.5,0.8738,1,0.27
Male,White,27,0,Citizen,1,Bachelor,1,1,3.2,39.1,36.9,4,19.2,3,Average Company,0,0,78.3,2,65.2,42.0,58.9,54.6,0.2639,0,0.27
Female,Black,32,0,Citizen,2,Master,1,0,0.5,33.8,29.7,1,21.8,4,No Experience,1,1,87.7,1,58.7,23.9,57.2,45.9,0.1677,0,-0.38
Male,Asian,29,0,Citizen,2,Master,1,1,0.4,31.3,42.6,2,18.4,4,No Experience,1,0,94.9,1,72.1,21.0,51.4,45.9,0.2342,0,0.2
Male,Black,33,1,Green Card,2,Master,2,1,15.0,71.0,75.8,4,40.7,3,Average Company,0,0,62.6,1,98.1,69.8,52.8,70.1,0.7979,1,-0.03
Male,White,29,0,Citizen,1,Bachelor,3,1,2.5,61.6,27.4,3,31.5,3,Average Company,0,0,77.9,2,64.0,25.1,65.1,50.8,0.3071,0,0.27
Male,White,27,0,Citizen,4,Self-taught/Bootcamp,4,1,12.8,38.2,64.0,4,16.8,3,Average Company,0,1,68.4,0,84.5,31.6,57.9,55.3,0.54,1,0.27
Male,White,33,0,Citizen,1,Bachelor,2,0,3.9,46.2,48.0,3,8.5,3,Average Company,0,1,79.1,2,58.6,44.2,77.2,61.0,0.5225,1,0.27
Male,White,32,0,Citizen,1,Bachelor,3,1,5.8,61.6,20.7,4,18.8,3,Average Company,0,0,82.3,0,56.1,55.8,73.5,62.9,0.407,0,0.27
Female,Asian,39,0,Citizen,4,Self-taught/Bootcamp,4,1,1.5,46.8,38.4,2,42.0,2,Well-known Tech,0,0,66.0,0,44.0,34.4,64.3,48.7,0.2048,0,0.05
Female,Asian,29,0,Citizen,2,Master,1,1,0.3,60.8,18.6,2,49.9,4,No Experience,1,0,75.5,1,79.4,28.2,41.0,46.1,0.206,0,0.05
Female,White,21,0,Citizen,4,Self-taught/Bootcamp,4,1,6.9,31.2,55.0,4,9.7,3,Average Company,0,1,92.8,0,66.9,16.2,78.5,53.8,0.4794,0,0.12
Female,Asian,29,2,H1B,1,Bachelor,3,1,0.8,44.3,28.6,4,42.4,4,No Experience,1,0,69.8,2,39.3,18.7,61.2,40.9,0.1235,0,-0.03
Male,White,21,0,Citizen,2,Master,2,1,5.7,56.8,49.3,4,59.1,3,Average Company,0,0,87.2,1,64.6,53.6,48.3,54.2,0.4069,0,0.27
Female,Asian,34,0,Citizen,1,Bachelor,1,0,0.4,44.0,41.4,1,4.6,4,No Experience,1,1,76.3,2,57.5,35.1,62.5,51.7,0.2539,0,0.05
Male,White,21,1,Green Card,3,PhD,2,1,3.9,68.3,29.2,4,19.2,3,Average Company,0,1,83.7,0,92.9,37.8,46.0,54.8,0.525,1,0.27
Male,Asian,25,2,H1B,1,Bachelor,1,0,6.3,47.0,51.5,5,31.5,2,Well-known Tech,0,1,69.7,1,74.4,54.6,72.3,66.6,0.7079,1,0.12
Male,White,29,0,Citizen,1,Bachelor,2,0,0.1,50.5,31.6,7,24.8,4,No Experience,0,0,86.5,0,62.3,42.0,61.5,54.9,0.2335,0,0.27
Male,White,42,0,Citizen,1,Bachelor,3,0,2.2,48.6,39.7,5,24.5,1,FAANG,0,0,74.2,1,60.7,31.2,68.5,53.5,0.3914,1,0.27
Male,White,24,0,Citizen,2,Master,2,1,4.0,70.7,66.7,8,38.4,3,Average Company,0,0,44.4,2,69.8,49.2,63.2,60.0,0.5134,1,0.27
Male,White,32,3,Needs Sponsorship,1,Bachelor,2,1,7.2,65.5,28.8,5,32.8,2,Well-known Tech,0,0,40.7,0,82.3,58.1,49.6,60.7,0.4796,0,-0.03
Female,White,36,0,Citizen,4,Self-taught/Bootcamp,4,1,1.3,52.8,43.9,5,19.9,3,Average Company,0,0,67.5,1,51.5,45.0,48.7,48.1,0.1737,0,0.12
Male,White,42,0,Citizen,3,PhD,2,1,7.6,45.9,79.4,2,5.7,2,Well-known Tech,0,1,66.6,2,94.8,30.0,53.8,55.7,0.6762,1,0.27
Male,White,37,0,Citizen,2,Master,2,1,4.7,87.5,45.9,2,42.1,2,Well-known Tech,0,0,82.0,1,100.0,63.3,50.1,67.2,0.691,1,0.27
Male,Asian,39,3,Needs Sponsorship,2,Master,1,1,1.9,45.5,37.2,5,35.8,2,Well-known Tech,1,0,61.8,1,81.7,34.4,45.2,50.6,0.2422,1,-0.1
Male,White,38,0,Citizen,3,PhD,2,1,1.6,39.4,58.5,3,21.3,3,Average Company,0,0,91.7,2,71.4,50.5,83.0,68.7,0.5779,1,0.27
Female,Black,23,0,Citizen,3,PhD,1,1,5.4,75.3,63.9,4,32.3,2,Well-known Tech,1,0,31.8,1,82.3,42.6,42.4,52.4,0.3216,1,-0.38
Male,White,34,2,H1B,4,Self-taught/Bootcamp,4,1,5.8,49.2,64.7,4,9.3,2,Well-known Tech,0,0,92.4,1,55.0,51.9,63.5,57.3,0.4454,1,0.19
Female,Hispanic,37,2,H1B,4,Self-taught/Bootcamp,4,1,4.6,63.4,46.9,3,4.0,4,No Experience,1,0,87.6,2,46.9,47.0,22.4,37.1,0.0829,1,-0.32
Female,Hispanic,25,0,Citizen,1,Bachelor,3,1,2.6,35.7,47.9,5,36.3,3,Average Company,0,1,56.1,2,67.0,26.2,47.9,45.1,0.1711,0,-0.24
Male,White,27,0,Citizen,1,Bachelor,2,1,0.1,47.3,21.8,3,27.4,4,No Experience,0,0,74.7,1,50.8,28.0,44.1,40.1,0.1613,1,0.27
Male,Black,26,0,Citizen,2,Master,1,1,3.8,57.1,31.9,4,31.4,4,No Experience,1,0,72.0,2,72.1,37.4,60.4,55.3,0.3273,0,-0.03
Female,White,37,1,Green Card,1,Bachelor,2,1,4.3,66.7,26.9,5,31.0,2,Well-known Tech,0,1,43.9,0,81.3,34.5,42.4,49.4,0.3882,1,0.12
Female,Hispanic,31,0,Citizen,1,Bachelor,3,1,1.2,41.2,29.6,3,15.2,4,No Experience,0,0,74.3,1,59.0,3.3,48.7,35.4,0.0727,0,-0.24
Female,Black,29,0,Citizen,2,Master,3,1,1.0,66.6,41.9,2,10.2,2,Well-known Tech,1,0,50.3,1,49.9,23.7,47.7,39.9,0.1338,0,-0.38
Female,White,23,0,Citizen,2,Master,2,1,9.0,48.4,60.1,4,46.4,1,FAANG,0,0,75.9,1,87.6,35.3,40.6,50.5,0.5828,1,0.12
Male,White,31,0,Citizen,2,Master,2,1,0.9,72.8,25.2,1,24.1,4,No Experience,0,1,85.9,2,82.8,50.1,50.5,58.4,0.5143,1,0.27
Male,White,28,0,Citizen,4,Self-taught/Bootcamp,4,1,1.1,67.9,51.2,2,45.2,3,Average Company,0,0,61.2,1,46.6,38.9,68.0,52.5,0.2925,0,0.27
Male,White,33,0,Citizen,2,Master,2,1,4.4,70.6,34.7,4,23.3,3,Average Company,0,0,47.5,1,72.5,44.2,77.7,64.7,0.4904,1,0.27
Female,Asian,23,2,H1B,1,Bachelor,2,1,1.7,47.3,23.0,1,19.4,1,FAANG,0,0,77.1,1,89.4,24.3,74.2,60.5,0.3839,0,-0.03
Male,White,33,2,H1B,1,Bachelor,3,1,2.6,79.8,30.1,2,61.5,3,Average Company,0,0,61.2,1,70.9,45.5,57.5,56.6,0.2767,0,0.19
Male,White,28,0,Citizen,1,Bachelor,2,1,3.4,43.0,39.2,6,3.6,3,Average Company,0,0,75.5,0,59.1,25.6,70.9,52.1,0.3177,0,0.27
Male,White,23,0,Citizen,1,Bachelor,3,1,12.0,80.8,64.5,2,40.1,3,Average Company,0,0,60.9,1,77.8,69.8,56.6,66.5,0.7594,1,0.27
Male,White,22,0,Citizen,1,Bachelor,2,1,1.4,67.6,25.0,1,25.8,2,Well-known Tech,0,0,60.3,0,66.0,59.4,60.7,61.6,0.4565,1,0.27
Male,White,23,0,Citizen,1,Bachelor,1,1,0.2,26.7,29.2,3,25.0,4,No Experience,0,1,73.3,1,70.2,32.3,54.2,50.5,0.2927,0,0.27
Female,Asian,30,2,H1B,3,PhD,3,1,0.6,68.6,29.7,5,49.0,4,No Experience,1,0,88.8,0,71.3,39.9,57.5,54.8,0.2708,0,-0.03
